Model,Benign Samples,Malicious Samples,F1 Score,FN,FP
DNN,1103221,37677,8.6%,1722,763244
DT,1103221,37677,8.1%,1219,820664
RF,1103221,37677,8.2%,562,833903
ET,1103221,37677,7.9%,562,870690
XGBoost,1103221,37677,8.7%,1740,756522
