Model,Benign Samples,Malicious Samples,F1 Score,FP,FN,MCC
DT,450554,14899,0.9102542052216986,941,1668,0.9076655347651095
RF,450554,14899,0.9102784462014438,951,1659,0.9076725433172012
ET,450554,14899,0.910067483817656,929,1683,0.9074991325287703
XGB,450554,14899,0.9105953443658586,966,1638,0.9079668662555176
DNN,450554,14899,0.842240824211204,384,3781,0.8451505158041132
